"UF";"Mês/Ano";"Valor Transferido";"Programa Social";
"ES";"01/2016";"10.780,00";"PETI";
"PA";"12/2016";"10.800,00";"PETI";
"RS";"12/2016";"10.800,00";"PETI";
"AC";"06/2022";"10.800,00";"Auxílio Emergencial";
"GO";"02/2023";"10.800,00";"Auxílio Emergencial";
"PE";"12/2022";"10.800,00";"Auxílio Emergencial";
"MT";"01/2023";"10.800,00";"Auxílio Emergencial";
"RN";"10/2017";"10.878,00";"Seguro Defeso";
"DF";"11/2022";"10.908,00";"Seguro Defeso";
"RN";"09/2017";"10.934,88";"Seguro Defeso";
"SP";"09/2018";"10.972,88";"Seguro Defeso";
"DF";"08/2019";"10.978,00";"Seguro Defeso";
"DF";"03/2019";"10.978,00";"Seguro Defeso";
"MA";"09/2018";"11.050,00";"Garantia-Safra";
"RN";"09/2021";"11.050,00";"Garantia-Safra";
"AL";"10/2023";"11.050,00";"Garantia-Safra";
"BA";"11/2016";"11.050,00";"Garantia-Safra";
"AL";"10/2021";"11.050,00";"Garantia-Safra";
"AL";"11/2021";"11.050,00";"Garantia-Safra";
"SC";"11/2016";"11.070,00";"PETI";
"GO";"03/2018";"11.105,00";"PETI";
"PI";"03/2019";"11.150,00";"Garantia-Safra";
"SE";"12/2018";"11.220,00";"Garantia-Safra";
"DF";"04/2017";"11.244,00";"Seguro Defeso";
"RO";"09/2017";"11.244,00";"Seguro Defeso";
"MT";"10/2016";"11.345,00";"PETI";
"PE";"09/2016";"11.390,00";"Garantia-Safra";
"PR";"09/2017";"11.395,00";"PETI";
"Inválido";"03/2021";"11.400,00";"Auxílio Emergencial";
"MA";"02/2023";"11.400,00";"Auxílio Emergencial";
"MS";"01/2023";"11.400,00";"Auxílio Emergencial";
"AC";"06/2016";"11.430,43";"Seguro Defeso";
"DF";"02/2016";"11.440,00";"Seguro Defeso";
"DF";"02/2018";"11.448,00";"Seguro Defeso";
"RN";"12/2018";"11.448,00";"Seguro Defeso";
"MT";"10/2018";"11.448,00";"Seguro Defeso";
"GO";"02/2018";"11.550,00";"PETI";
"ES";"12/2016";"11.575,00";"PETI";
"AL";"09/2022";"11.664,00";"Auxílio Emergencial";
"PR";"11/2016";"11.824,02";"Seguro Defeso";
"SE";"12/2022";"11.900,00";"Garantia-Safra";
"PB";"08/2022";"11.900,00";"Garantia-Safra";
"SE";"08/2016";"11.900,00";"Garantia-Safra";
"PB";"10/2022";"11.900,00";"Garantia-Safra";
"SE";"09/2021";"11.900,00";"Garantia-Safra";
"MG";"04/2016";"11.900,00";"Garantia-Safra";
"PR";"11/2019";"11.976,00";"Seguro Defeso";
"DF";"07/2019";"11.976,00";"Seguro Defeso";
"RR";"12/2022";"12.000,00";"Auxílio Emergencial";
"RJ";"02/2023";"12.000,00";"Auxílio Emergencial";
"GO";"01/2018";"12.180,00";"PETI";
"DF";"02/2017";"12.181,00";"Seguro Defeso";
"CE";"02/2020";"12.240,00";"Garantia-Safra";
"RN";"11/2018";"12.402,00";"Seguro Defeso";
"MT";"11/2018";"12.402,00";"Seguro Defeso";
"DF";"08/2020";"12.540,00";"Seguro Defeso";
"DF";"05/2020";"12.540,00";"Seguro Defeso";
"PB";"10/2023";"12.750,00";"Garantia-Safra";
"MA";"03/2020";"12.750,00";"Garantia-Safra";
"GO";"12/2017";"12.830,00";"PETI";
"Inválido";"11/2020";"12.900,00";"Auxílio Emergencial";
"PB";"08/2016";"13.200,00";"Seguro Defeso";
"DF";"10/2021";"13.200,00";"Seguro Defeso";
"PR";"10/2022";"13.200,00";"Auxílio Emergencial";
"RS";"01/2023";"13.200,00";"Auxílio Emergencial";
"PI";"10/2018";"13.260,00";"Garantia-Safra";
"GO";"09/2017";"13.308,08";"Seguro Defeso";
"ES";"09/2016";"13.315,88";"Seguro Defeso";
"RR";"12/2022";"13.332,00";"Seguro Defeso";
"Inválido";"03/2022";"13.332,00";"BPC";
"DF";"03/2018";"13.356,00";"Seguro Defeso";
"MT";"08/2018";"13.356,00";"Seguro Defeso";
"GO";"11/2017";"13.490,00";"PETI";
"RN";"12/2018";"13.600,00";"Garantia-Safra";
"SE";"07/2023";"13.600,00";"Garantia-Safra";
"AL";"11/2022";"13.600,00";"Garantia-Safra";
"RN";"10/2016";"13.600,00";"Garantia-Safra";
"PR";"08/2017";"13.895,00";"PETI";
"RN";"07/2021";"13.940,00";"Garantia-Safra";
"CE";"01/2016";"13.988,63";"Seguro Defeso";
"MA";"10/2016";"14.071,32";"Seguro Defeso";
"DF";"04/2016";"14.080,00";"Seguro Defeso";
"TO";"09/2016";"14.080,00";"Seguro Defeso";
"MA";"11/2016";"14.097,84";"Seguro Defeso";
"ES";"10/2022";"14.100,00";"Auxílio Emergencial";
"Inválido";"09/2021";"14.300,00";"BPC";
"GO";"10/2017";"14.340,00";"PETI";
"PR";"07/2017";"14.395,00";"PETI";
"AL";"09/2021";"14.450,00";"Garantia-Safra";
"AL";"08/2023";"14.450,00";"Garantia-Safra";
"DF";"02/2022";"14.544,00";"Seguro Defeso";
"ES";"08/2016";"14.778,08";"Seguro Defeso";
"RN";"11/2020";"14.790,00";"Garantia-Safra";
"MS";"06/2016";"14.960,00";"Seguro Defeso";
"AM";"03/2016";"14.960,00";"Seguro Defeso";
"GO";"05/2016";"14.960,00";"Seguro Defeso";
"SC";"10/2016";"14.985,00";"PETI";
"BA";"12/2016";"15.000,00";"PETI";
"Inválido";"05/2020";"15.000,00";"Auxílio Emergencial";
"Inválido";"08/2020";"15.000,00";"Auxílio Emergencial";
"PR";"06/2017";"15.175,00";"PETI";
"MT";"09/2018";"15.264,00";"Seguro Defeso";
"MA";"05/2023";"15.300,00";"Garantia-Safra";
"PB";"08/2023";"15.300,00";"Garantia-Safra";
"AL";"11/2017";"15.300,00";"Garantia-Safra";
"DF";"12/2021";"15.400,00";"Seguro Defeso";
"DF";"02/2021";"15.400,00";"Seguro Defeso";
"CE";"01/2018";"15.445,00";"Seguro Defeso";
"SC";"10/2022";"15.600,00";"Auxílio Emergencial";
"Inválido";"10/2020";"15.675,00";"BPC";
"PR";"05/2017";"15.725,00";"PETI";
"PI";"04/2016";"15.838,43";"Seguro Defeso";
"TO";"10/2023";"15.840,00";"Seguro Defeso";
"MS";"09/2023";"15.840,00";"Seguro Defeso";
"GO";"10/2023";"15.840,00";"Seguro Defeso";
"MA";"01/2023";"15.900,00";"Auxílio Emergencial";
"MG";"08/2023";"16.150,00";"Garantia-Safra";
"AL";"02/2018";"16.150,00";"Garantia-Safra";
"RN";"09/2023";"16.150,00";"Garantia-Safra";
"MA";"12/2022";"16.200,00";"Auxílio Emergencial";
"AC";"12/2021";"16.200,00";"Auxílio Emergencial";
"MG";"02/2023";"16.200,00";"Auxílio Emergencial";
"AM";"01/2023";"16.200,00";"Auxílio Emergencial";
"RN";"10/2022";"16.200,00";"Auxílio Emergencial";
"DF";"01/2020";"16.337,00";"Seguro Defeso";
"PR";"04/2017";"16.485,00";"PETI";
"BA";"09/2016";"16.505,00";"PETI";
"BA";"08/2016";"16.655,00";"PETI";
"MG";"08/2022";"16.660,00";"Garantia-Safra";
"SE";"07/2020";"16.660,00";"Garantia-Safra";
"MT";"07/2016";"16.720,00";"Seguro Defeso";
"Inválido";"04/2020";"16.800,00";"Auxílio Emergencial";
"Inválido";"07/2020";"16.800,00";"Auxílio Emergencial";
"RR";"01/2023";"16.800,00";"Auxílio Emergencial";
"BA";"07/2016";"16.895,00";"PETI";
"RN";"09/2022";"16.900,00";"Auxílio Emergencial";
"BA";"06/2016";"16.920,00";"PETI";
"MS";"10/2019";"16.933,52";"Seguro Defeso";
"MS";"11/2019";"16.943,00";"Seguro Defeso";
"RN";"11/2019";"16.966,00";"Seguro Defeso";
"BA";"05/2016";"16.970,00";"PETI";
"PI";"02/2023";"17.000,00";"Garantia-Safra";
"AP";"05/2022";"17.100,00";"Auxílio Emergencial";
"AC";"08/2018";"17.172,00";"Seguro Defeso";
"BA";"04/2016";"17.365,00";"PETI";
"RN";"09/2016";"17.465,00";"PETI";
"RN";"08/2016";"17.515,00";"PETI";
"BA";"03/2016";"17.540,00";"PETI";
"PR";"03/2017";"17.555,00";"PETI";
"DF";"05/2021";"17.600,00";"Seguro Defeso";
"PI";"06/2016";"17.600,00";"Seguro Defeso";
"PR";"11/2021";"17.600,00";"Seguro Defeso";
"PI";"05/2016";"17.600,00";"Seguro Defeso";
"BA";"02/2016";"17.655,00";"PETI";
"SP";"09/2016";"17.655,00";"PETI";
"MG";"08/2018";"17.680,00";"Garantia-Safra";
"RN";"07/2016";"17.790,00";"PETI";
"BA";"01/2016";"17.795,00";"PETI";
"GO";"10/2017";"17.803,00";"Seguro Defeso";
"MS";"06/2017";"17.803,00";"Seguro Defeso";
"RN";"06/2016";"17.815,00";"PETI";
"SP";"08/2016";"17.840,00";"PETI";
"PB";"07/2023";"17.850,00";"Garantia-Safra";
"SE";"07/2022";"17.850,00";"Garantia-Safra";
"AL";"12/2020";"17.850,00";"Garantia-Safra";
"PR";"02/2017";"17.890,00";"PETI";
"AP";"11/2021";"18.000,00";"Auxílio Emergencial";
"RN";"05/2016";"18.010,00";"PETI";
"AL";"10/2017";"18.020,00";"Garantia-Safra";
"RR";"10/2019";"18.049,80";"Seguro Defeso";
"TO";"08/2018";"18.116,51";"Seguro Defeso";
"SP";"07/2016";"18.125,00";"PETI";
"PR";"10/2018";"18.126,00";"Seguro Defeso";
"PR";"08/2017";"18.137,31";"Seguro Defeso";
"PR";"07/2017";"18.163,53";"Seguro Defeso";
"RN";"04/2016";"18.165,00";"PETI";
"PE";"11/2022";"18.180,00";"Seguro Defeso";
"ES";"07/2016";"18.205,86";"Seguro Defeso";
"RN";"03/2016";"18.215,00";"PETI";
"SP";"06/2016";"18.375,00";"PETI";
"TO";"07/2016";"18.480,00";"Seguro Defeso";
"PB";"12/2022";"18.600,00";"Auxílio Emergencial";
"PR";"01/2017";"18.660,00";"PETI";
"SP";"03/2016";"18.660,00";"PETI";
"RN";"02/2016";"18.670,00";"PETI";
"SP";"05/2016";"18.685,00";"PETI";
"MS";"09/2021";"18.700,00";"Seguro Defeso";
"RN";"01/2016";"18.735,00";"PETI";
"RO";"08/2017";"18.740,00";"Seguro Defeso";
"AC";"11/2017";"18.740,00";"Seguro Defeso";
"SP";"04/2016";"18.760,00";"PETI";
"DF";"03/2020";"18.810,00";"Seguro Defeso";
"SP";"02/2016";"18.875,00";"PETI";
"MS";"09/2019";"18.930,16";"Seguro Defeso";
"MS";"09/2016";"19.025,00";"PETI";
"SE";"10/2017";"19.040,00";"Garantia-Safra";
"SP";"01/2016";"19.100,00";"PETI";
"PB";"01/2016";"19.176,00";"Seguro Defeso";
"MS";"08/2016";"19.185,00";"PETI";
"PI";"12/2022";"19.200,00";"Auxílio Emergencial";
"Inválido";"09/2020";"19.200,00";"Auxílio Emergencial";
"MS";"07/2016";"19.340,00";"PETI";
"CE";"07/2016";"19.380,00";"Garantia-Safra";
"DF";"09/2022";"19.392,00";"Seguro Defeso";
"DF";"08/2022";"19.392,00";"Seguro Defeso";
"MS";"06/2016";"19.470,00";"PETI";
"MS";"04/2016";"19.495,00";"PETI";
"MS";"05/2016";"19.495,00";"PETI";
"CE";"12/2020";"19.550,00";"Garantia-Safra";
"AC";"05/2022";"19.602,00";"Auxílio Emergencial";
"MS";"03/2016";"19.615,00";"PETI";
"MS";"05/2017";"19.677,00";"Seguro Defeso";
"MS";"02/2016";"19.705,00";"PETI";
"MS";"01/2016";"19.745,00";"PETI";
"MS";"12/2022";"19.800,00";"Auxílio Emergencial";
"TO";"03/2022";"19.800,00";"Auxílio Emergencial";
"TO";"10/2019";"19.949,47";"Seguro Defeso";
"PI";"09/2022";"20.000,00";"Auxílio Emergencial";
"MG";"09/2016";"20.030,00";"PETI";
"AP";"03/2022";"20.130,00";"Auxílio Emergencial";
"PB";"09/2016";"20.175,00";"PETI";
"GO";"06/2016";"20.240,00";"Seguro Defeso";
"MG";"08/2016";"20.245,00";"PETI";
"DF";"01/2022";"20.248,00";"Seguro Defeso";
"RN";"08/2017";"20.270,00";"Seguro Defeso";
"SE";"10/2016";"20.274,10";"Seguro Defeso";
"PB";"08/2016";"20.275,00";"PETI";
"PB";"07/2016";"20.325,00";"PETI";
"PE";"12/2016";"20.375,00";"PETI";
"PB";"12/2016";"20.400,00";"Garantia-Safra";
"PB";"06/2016";"20.440,00";"PETI";
"AP";"12/2021";"20.445,00";"Auxílio Emergencial";
"MG";"07/2016";"20.470,00";"PETI";
"PB";"05/2016";"20.490,00";"PETI";
"MG";"06/2016";"20.535,00";"PETI";
"GO";"11/2021";"20.574,86";"Seguro Defeso";
"MG";"05/2016";"20.585,00";"PETI";
"PB";"04/2016";"20.630,00";"PETI";
"MG";"04/2016";"20.660,00";"PETI";
"PB";"03/2016";"20.730,00";"PETI";
"RN";"10/2020";"20.740,00";"Garantia-Safra";
"SE";"10/2021";"20.740,00";"Garantia-Safra";
"PB";"02/2016";"20.755,00";"PETI";
"MG";"03/2016";"20.810,00";"PETI";
"PB";"01/2016";"20.830,00";"PETI";
"MT";"10/2017";"20.866,00";"Seguro Defeso";
"MG";"12/2016";"20.900,00";"PETI";
"PB";"10/2018";"20.910,00";"Garantia-Safra";
"MG";"02/2016";"20.975,00";"PETI";
"RN";"08/2018";"20.988,00";"Seguro Defeso";
"Inválido";"12/2020";"21.000,00";"Auxílio Emergencial";
"MG";"01/2016";"21.090,00";"PETI";
"DF";"09/2023";"21.120,00";"Seguro Defeso";
"MS";"09/2022";"21.200,00";"Auxílio Emergencial";
"PI";"05/2020";"21.250,00";"Garantia-Safra";
"MG";"09/2023";"21.250,00";"Garantia-Safra";
"AL";"11/2017";"21.578,93";"Seguro Defeso";
"AC";"10/2022";"21.816,00";"Seguro Defeso";
"CE";"02/2018";"21.942,00";"Seguro Defeso";
"DF";"06/2021";"22.000,00";"Seguro Defeso";
"SE";"12/2019";"22.100,00";"Garantia-Safra";
"SE";"05/2022";"22.100,00";"Garantia-Safra";
"CE";"08/2023";"22.100,00";"Garantia-Safra";
"MG";"06/2016";"22.100,00";"Garantia-Safra";
"PE";"10/2016";"22.100,00";"Garantia-Safra";
"AL";"11/2016";"22.158,69";"Seguro Defeso";
"DF";"07/2023";"22.440,00";"Seguro Defeso";
"PR";"11/2016";"22.745,00";"PETI";
"MT";"05/2018";"22.896,00";"Seguro Defeso";
"AL";"07/2023";"22.950,00";"Garantia-Safra";
"RN";"12/2016";"23.100,00";"PETI";
"AC";"08/2021";"23.100,00";"Seguro Defeso";
"AL";"11/2021";"23.100,00";"Seguro Defeso";
"MS";"10/2021";"23.100,00";"Seguro Defeso";
"AM";"02/2016";"23.256,17";"Seguro Defeso";
"PB";"12/2016";"23.300,00";"PETI";
"SC";"09/2022";"23.700,00";"Auxílio Emergencial";
"PB";"11/2022";"23.800,00";"Garantia-Safra";
"PB";"11/2016";"23.800,00";"Garantia-Safra";
"PI";"11/2021";"23.800,00";"Garantia-Safra";
"RN";"10/2019";"23.952,00";"Seguro Defeso";
"MT";"09/2022";"24.000,00";"Auxílio Emergencial";
"RN";"09/2016";"24.140,00";"Garantia-Safra";
"DF";"06/2022";"24.240,00";"Seguro Defeso";
"PR";"10/2017";"24.500,04";"Seguro Defeso";
"PB";"07/2022";"24.650,00";"Garantia-Safra";
"ES";"09/2022";"24.700,00";"Auxílio Emergencial";
"GO";"09/2017";"24.860,00";"PETI";
"RR";"08/2018";"24.874,97";"Seguro Defeso";
"PA";"12/2022";"24.900,00";"Auxílio Emergencial";
"RO";"11/2019";"24.938,00";"Seguro Defeso";
"DF";"09/2020";"25.080,00";"Seguro Defeso";
"DF";"06/2023";"25.080,00";"Seguro Defeso";
"AC";"11/2020";"25.080,00";"Seguro Defeso";
"DF";"04/2020";"25.080,00";"Seguro Defeso";
"MG";"07/2016";"25.160,00";"Garantia-Safra";
"PI";"12/2020";"25.500,00";"Garantia-Safra";
"RJ";"12/2022";"25.500,00";"Auxílio Emergencial";
"CE";"03/2018";"25.573,19";"Seguro Defeso";
"MS";"12/2016";"25.600,00";"PETI";
"PI";"11/2016";"25.670,00";"Garantia-Safra";
"GO";"12/2022";"25.800,00";"Auxílio Emergencial";
"SE";"05/2022";"25.986,00";"Auxílio Emergencial";
"SP";"12/2016";"26.100,00";"PETI";
"GO";"11/2017";"26.236,00";"Seguro Defeso";
"SE";"06/2023";"26.350,00";"Garantia-Safra";
"MA";"04/2022";"26.350,00";"Garantia-Safra";
"RR";"02/2020";"26.370,44";"Seguro Defeso";
"GO";"10/2018";"26.712,00";"Seguro Defeso";
"TO";"08/2019";"26.943,04";"Seguro Defeso";
"PB";"10/2021";"27.200,00";"Garantia-Safra";
"MT";"06/2016";"27.256,19";"Seguro Defeso";
"DF";"02/2023";"27.342,00";"Seguro Defeso";
"MA";"08/2016";"27.400,22";"Seguro Defeso";
"RR";"02/2021";"27.500,00";"Seguro Defeso";
"MT";"10/2022";"27.600,00";"Auxílio Emergencial";
"RN";"08/2022";"27.880,00";"Garantia-Safra";
"DF";"04/2019";"27.944,00";"Seguro Defeso";
"CE";"09/2023";"28.050,00";"Garantia-Safra";
"GO";"08/2017";"28.160,00";"PETI";
"AC";"07/2018";"28.620,00";"Seguro Defeso";
"GO";"07/2017";"28.745,00";"PETI";
"RN";"01/2022";"28.900,00";"Garantia-Safra";
"RN";"12/2022";"28.900,00";"Garantia-Safra";
"DF";"08/2023";"29.040,00";"Seguro Defeso";
"DF";"01/2023";"29.046,00";"Seguro Defeso";
"PE";"09/2016";"29.100,00";"PETI";
"DF";"06/2020";"29.260,00";"Seguro Defeso";
"AL";"11/2020";"29.260,00";"Seguro Defeso";
"GO";"06/2017";"29.300,00";"PETI";
"PE";"08/2016";"29.300,00";"PETI";
"MG";"09/2022";"29.410,00";"Garantia-Safra";
"PE";"07/2016";"29.500,00";"PETI";
"PR";"11/2018";"29.574,00";"Seguro Defeso";
"PE";"06/2016";"29.700,00";"PETI";
"CE";"11/2020";"29.750,00";"Garantia-Safra";
"CE";"10/2023";"29.750,00";"Garantia-Safra";
"CE";"07/2023";"29.750,00";"Garantia-Safra";
"PE";"05/2016";"29.850,00";"PETI";
"PE";"04/2016";"29.925,00";"PETI";
"TO";"06/2017";"29.984,00";"Seguro Defeso";
"RO";"07/2017";"29.984,00";"Seguro Defeso";
"TO";"05/2022";"30.000,00";"Auxílio Emergencial";
"GO";"05/2017";"30.025,00";"PETI";
"PE";"03/2016";"30.050,00";"PETI";
"PE";"02/2016";"30.125,00";"PETI";
"PE";"01/2016";"30.175,00";"PETI";
"GO";"10/2022";"30.255,03";"Seguro Defeso";
"RO";"05/2022";"30.275,00";"Auxílio Emergencial";
"AL";"09/2022";"30.600,00";"Garantia-Safra";
"CE";"10/2022";"30.900,00";"Auxílio Emergencial";
"PR";"10/2016";"30.970,00";"PETI";
"GO";"04/2017";"31.010,00";"PETI";
"AL";"09/2017";"31.075,05";"Seguro Defeso";
"AL";"10/2022";"31.200,00";"Auxílio Emergencial";
"MT";"09/2016";"31.225,00";"PETI";
"Inválido";"01/2023";"31.249,02";"BPC";
"MT";"08/2016";"31.385,00";"PETI";
"MA";"03/2021";"31.450,00";"Garantia-Safra";
"PR";"08/2018";"31.482,00";"Seguro Defeso";
"DF";"03/2022";"31.512,00";"Seguro Defeso";
"MT";"07/2016";"31.620,00";"PETI";
"AL";"10/2016";"31.769,41";"Seguro Defeso";
"MG";"10/2022";"31.790,00";"Garantia-Safra";
"MA";"09/2016";"31.814,20";"Seguro Defeso";
"AC";"10/2021";"31.900,00";"Seguro Defeso";
"RR";"12/2019";"31.936,00";"Seguro Defeso";
"MT";"06/2016";"32.060,00";"PETI";
"GO";"01/2023";"32.100,00";"Auxílio Emergencial";
"MT";"05/2016";"32.205,00";"PETI";
"SE";"06/2020";"32.300,00";"Garantia-Safra";
"PB";"09/2022";"32.300,00";"Garantia-Safra";
"GO";"06/2018";"32.436,00";"Seguro Defeso";
"MT";"04/2016";"32.445,00";"PETI";
"DF";"03/2023";"32.550,00";"Seguro Defeso";
"MT";"11/2016";"32.560,00";"Seguro Defeso";
"MS";"05/2016";"32.560,00";"Seguro Defeso";
"MT";"03/2016";"32.590,00";"PETI";
"GO";"03/2017";"32.605,00";"PETI";
"DF";"05/2023";"32.694,00";"Seguro Defeso";
"CE";"11/2019";"32.934,00";"Seguro Defeso";
"MT";"09/2019";"32.934,00";"Seguro Defeso";
"MT";"02/2016";"32.950,00";"PETI";
"GO";"09/2023";"33.000,00";"Seguro Defeso";
"SP";"02/2023";"33.000,00";"Auxílio Emergencial";
"PB";"12/2017";"33.080,00";"Garantia-Safra";
"MT";"01/2016";"33.295,00";"PETI";
"AP";"06/2022";"33.600,00";"Auxílio Emergencial";
"SP";"01/2023";"33.600,00";"Auxílio Emergencial";
"RN";"06/2022";"33.750,00";"Auxílio Emergencial";
"GO";"02/2017";"33.775,00";"PETI";
"TO";"11/2021";"33.900,00";"Auxílio Emergencial";
"PR";"10/2019";"33.932,00";"Seguro Defeso";
"PI";"10/2016";"34.000,00";"Garantia-Safra";
"RN";"09/2022";"34.000,00";"Garantia-Safra";
"AC";"03/2022";"34.070,00";"Auxílio Emergencial";
"CE";"03/2016";"34.358,27";"Seguro Defeso";
"MT";"10/2016";"34.438,56";"Seguro Defeso";
"RS";"10/2022";"34.500,00";"Auxílio Emergencial";
"GO";"05/2017";"34.669,00";"Seguro Defeso";
"PB";"07/2016";"35.200,00";"Seguro Defeso";
"AL";"12/2018";"35.298,00";"Seguro Defeso";
"MS";"10/2023";"35.640,00";"Seguro Defeso";
"GO";"01/2017";"35.710,00";"PETI";
"AM";"09/2022";"36.100,00";"Auxílio Emergencial";
"MS";"11/2021";"36.190,27";"Seguro Defeso";
"RR";"01/2020";"36.502,00";"Seguro Defeso";
"RJ";"01/2023";"36.600,00";"Auxílio Emergencial";
"AL";"10/2017";"36.632,09";"Seguro Defeso";
"TO";"09/2023";"36.960,00";"Seguro Defeso";
"CE";"10/2020";"37.060,00";"Garantia-Safra";
"MA";"02/2021";"37.400,00";"Garantia-Safra";
"AL";"08/2021";"37.400,00";"Garantia-Safra";
"MS";"10/2022";"37.500,00";"Auxílio Emergencial";
"AC";"10/2020";"37.620,00";"Seguro Defeso";
"RR";"01/2021";"37.697,00";"Seguro Defeso";
"MT";"12/2016";"37.725,00";"PETI";
"PB";"11/2021";"37.740,00";"Garantia-Safra";
"RN";"07/2016";"38.016,51";"Seguro Defeso";
"PB";"12/2017";"38.143,09";"Seguro Defeso";
"AL";"10/2018";"38.160,00";"Seguro Defeso";
"AM";"10/2018";"38.160,00";"Seguro Defeso";
"MG";"02/2023";"38.250,00";"Garantia-Safra";
"AC";"07/2020";"38.665,00";"Seguro Defeso";
"AC";"08/2022";"38.700,00";"Auxílio Emergencial";
"TO";"06/2016";"38.720,00";"Seguro Defeso";
"PE";"09/2022";"38.784,00";"Seguro Defeso";
"GO";"11/2022";"38.784,00";"Seguro Defeso";
"RR";"10/2022";"39.000,00";"Auxílio Emergencial";
"AC";"03/2021";"39.000,00";"Auxílio Emergencial";
"AL";"09/2017";"39.100,00";"Garantia-Safra";
"RS";"09/2022";"39.200,00";"Auxílio Emergencial";
"AP";"10/2022";"39.300,00";"Auxílio Emergencial";
"AC";"02/2022";"39.535,00";"Auxílio Emergencial";
"AC";"09/2021";"39.600,00";"Seguro Defeso";
"PR";"10/2020";"39.710,00";"Seguro Defeso";
"PI";"09/2020";"39.950,00";"Garantia-Safra";
"RR";"01/2023";"40.182,00";"Seguro Defeso";
"MS";"11/2020";"40.755,00";"Seguro Defeso";
"PI";"09/2016";"40.970,00";"Garantia-Safra";
"RN";"09/2018";"41.022,00";"Seguro Defeso";
"AL";"10/2018";"41.140,00";"Garantia-Safra";
"RO";"09/2022";"41.500,00";"Auxílio Emergencial";
"SE";"10/2022";"41.700,00";"Auxílio Emergencial";
"RN";"12/2021";"41.990,00";"Garantia-Safra";
"AP";"03/2021";"42.000,00";"Auxílio Emergencial";
"SE";"06/2022";"42.000,00";"Auxílio Emergencial";
"PB";"09/2021";"42.160,00";"Garantia-Safra";
"PR";"11/2022";"42.507,50";"Seguro Defeso";
"MT";"08/2020";"42.845,00";"Seguro Defeso";
"MT";"07/2018";"42.930,00";"Seguro Defeso";
"MG";"07/2023";"43.350,00";"Garantia-Safra";
"TO";"06/2022";"43.800,00";"Auxílio Emergencial";
"GO";"09/2021";"44.000,00";"Seguro Defeso";
"AL";"11/2020";"44.200,00";"Garantia-Safra";
"RN";"08/2023";"44.200,00";"Garantia-Safra";
"MT";"10/2022";"44.844,00";"Seguro Defeso";
"PI";"01/2019";"44.878,89";"Seguro Defeso";
"RO";"10/2023";"44.880,00";"Seguro Defeso";
"CE";"11/2021";"45.050,00";"Garantia-Safra";
"GO";"10/2021";"45.100,00";"Seguro Defeso";
"TO";"02/2022";"45.600,00";"Auxílio Emergencial";
"AL";"08/2019";"45.730,00";"Garantia-Safra";
"MT";"08/2016";"45.760,00";"Seguro Defeso";
"MT";"05/2022";"46.500,00";"Auxílio Emergencial";
"AM";"12/2018";"46.746,00";"Seguro Defeso";
"TO";"07/2018";"46.746,00";"Seguro Defeso";
"SE";"04/2022";"46.750,00";"Garantia-Safra";
"DF";"03/2017";"46.850,00";"Seguro Defeso";
"MT";"08/2019";"46.906,00";"Seguro Defeso";
"AL";"06/2022";"47.100,00";"Auxílio Emergencial";
"MG";"11/2016";"47.190,01";"Seguro Defeso";
"AL";"11/2021";"47.400,00";"Auxílio Emergencial";
"AP";"11/2016";"47.520,00";"Seguro Defeso";
"RS";"05/2016";"47.658,79";"Seguro Defeso";
"AC";"09/2020";"48.070,00";"Seguro Defeso";
"SP";"09/2017";"48.149,57";"Seguro Defeso";
"MG";"07/2022";"48.280,00";"Garantia-Safra";
"SE";"09/2022";"48.300,00";"Auxílio Emergencial";
"DF";"03/2021";"48.400,00";"Seguro Defeso";
"PR";"09/2016";"48.400,00";"Seguro Defeso";
"PI";"11/2018";"48.450,00";"Garantia-Safra";
"MT";"05/2022";"48.480,00";"Seguro Defeso";
"SE";"11/2016";"48.550,21";"Seguro Defeso";
"DF";"04/2023";"49.476,00";"Seguro Defeso";
"PE";"10/2022";"49.654,40";"Seguro Defeso";
"AC";"09/2022";"49.692,00";"Seguro Defeso";
"CE";"02/2016";"49.922,88";"Seguro Defeso";
"PE";"08/2023";"50.150,00";"Garantia-Safra";
"PI";"10/2021";"50.150,00";"Garantia-Safra";
"SC";"09/2016";"50.230,00";"PETI";
"CE";"09/2022";"50.383,00";"Auxílio Emergencial";
"RR";"03/2022";"50.387,00";"Auxílio Emergencial";
"GO";"08/2017";"50.598,00";"Seguro Defeso";
"RN";"05/2022";"50.612,00";"Auxílio Emergencial";
"MG";"11/2022";"50.660,00";"Garantia-Safra";
"SC";"08/2016";"50.695,00";"PETI";
"MG";"12/2022";"50.700,00";"Auxílio Emergencial";
"GO";"11/2016";"50.935,00";"PETI";
"PE";"10/2022";"51.170,00";"Garantia-Safra";
"PR";"11/2020";"51.182,31";"Seguro Defeso";
"RN";"09/2020";"51.340,00";"Garantia-Safra";
"SE";"09/2023";"51.524,00";"Seguro Defeso";
"MG";"07/2017";"51.680,00";"Garantia-Safra";
"PR";"10/2021";"51.700,00";"Seguro Defeso";
"PI";"09/2019";"51.850,00";"Garantia-Safra";
"GO";"10/2019";"51.896,00";"Seguro Defeso";
"SC";"07/2016";"52.125,00";"PETI";
"SC";"12/2016";"52.500,00";"PETI";
"PI";"09/2023";"52.700,00";"Garantia-Safra";
"SC";"06/2016";"52.705,00";"PETI";
"PR";"08/2023";"52.800,00";"Seguro Defeso";
"PE";"10/2023";"52.870,00";"Garantia-Safra";
